#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      234.2   103.7    80.4   128.3   142.4   225.2   258.9   276.4   290.0   305.8   326.7   366.3   470.8  1001.7  3538.5  29974.6    30000  1777983825862  1777983836054
read      232.1    96.5    80.4   133.3   146.8   221.8   254.4   272.1   285.6   301.2   322.0   360.8   461.1   899.1  3231.9  30022.6    30005  1777983837567  1777983847697
read      237.8    95.9    80.4   137.1   150.2   227.5   261.5   279.8   293.1   309.8   331.5   368.6   467.1   987.3  3174.9  30069.6    30010  1777983849212  1777983859318
read      235.2   102.8    86.8   133.0   146.8   223.5   256.5   274.2   288.0   304.2   326.7   369.5   496.3  1104.1  3084.6  30014.6    30015  1777983860831  1777983870932
read      243.3   111.3    80.4   140.4   154.1   229.2   264.3   283.8   297.7   316.0   340.7   383.3   486.8  1363.9  3643.2  30087.9    30020  1777983872446  1777983882549
read      234.6   115.2    86.8   138.8   150.8   217.9   251.4   270.9   285.6   303.2   327.5   370.8   495.9  1413.7  4191.1  30064.0    30025  1777983884064  1777983894167
read      237.4   120.8    93.8   135.4   148.2   219.6   253.4   273.0   288.2   306.8   333.8   383.3   537.4  1646.7  3960.2  29954.5    30030  1777983895680  1777983905785
read      244.8   107.8    80.4   139.0   152.4   230.0   266.4   286.8   301.8   320.0   345.7   391.5   501.6  1324.8  3072.3  30013.1    30035  1777983907302  1777983917410
read      239.1   120.6    86.8   136.3   149.4   223.3   258.7   278.2   293.0   311.6   336.7   379.8   493.9  1748.4  3935.3  30040.4    30040  1777983918924  1777983929031
read      241.8   115.4    86.8   138.3   151.4   226.1   261.5   281.5   296.2   315.4   341.0   386.5   501.9  1490.7  3230.8  30106.8    30045  1777983930545  1777983940650
read      237.1   107.9    86.8   135.7   148.9   223.1   257.7   276.4   291.0   308.7   332.9   374.9   484.6  1410.7  3576.0  30031.3    30050  1777983942164  1777983952269
read      241.7   109.0    86.8   137.1   150.6   227.7   263.1   282.8   296.9   315.3   340.3   384.2   497.2  1300.2  3197.0  30057.3    30055  1777983953784  1777983963894
read      237.9   129.7    86.8   135.5   148.4   221.5   256.1   275.2   290.1   307.8   332.0   373.9   496.9  1826.8  4751.3  29942.1    30060  1777983965408  1777983975513
read      246.6   122.5    86.8   134.4   148.7   231.4   268.3   288.7   303.8   321.7   348.3   393.8   520.8  1594.8  3770.4  29991.3    30065  1777983977027  1777983987132
read      242.5   156.7    80.4   134.4   147.7   223.4   259.8   280.1   295.0   313.8   338.6   382.7   510.4  2670.9  5033.6  30014.1    30070  1777983988645  1777983998754
read      225.8   110.8    86.8   129.1   140.7   212.0   247.0   266.4   280.0   295.8   317.8   354.2   453.0  1360.3  3882.9  30131.8    30075  1777984000267  1777984010370
read      239.6   118.2    86.8   132.5   145.6   223.4   260.7   282.0   297.3   316.9   342.8   388.8   500.2  1494.4  3384.9  30046.3    30080  1777984011885  1777984021987
read      222.3    95.1    80.4   129.9   142.0   211.4   243.5   261.8   274.1   289.7   309.8   342.5   433.8   862.1  3446.6  30024.7    30085  1777984023501  1777984033605
read      220.6    94.9    80.4   126.8   139.2   210.8   242.9   261.1   273.4   289.1   309.1   341.8   430.9   739.1  3046.2  29989.3    30090  1777984035119  1777984045220
read      230.6    99.8    80.4   133.0   146.0   221.6   254.4   271.9   285.0   299.7   319.4   354.5   444.9   740.2  3843.0  30063.6    30095  1777984046732  1777984056837
