#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      225.3    95.7    80.4   129.3   142.4   215.9   247.4   265.3   277.9   293.4   314.0   346.5   436.4   831.0  3231.7  30031.6    30000  1777988471066  1777988481211
read      227.7    96.9    80.4   134.3   146.7   216.9   249.0   267.2   280.3   295.9   316.9   350.6   439.6   870.9  3690.1  30004.0    30005  1777988482724  1777988492860
read      213.6    95.6    80.4   127.9   139.8   202.4   231.4   248.3   261.1   275.9   296.2   330.2   412.7   737.1  4233.2  30067.4    30010  1777988494374  1777988504478
read      226.8    84.9    80.4   134.9   147.6   216.9   248.2   266.2   279.0   294.4   315.1   347.6   434.0   671.5  2730.8  29981.2    30015  1777988505992  1777988516103
read      236.5   113.3    80.4   136.5   149.4   222.6   255.5   274.9   290.4   308.5   332.2   371.0   470.0  1491.8  3564.0  29951.3    30020  1777988517614  1777988527720
read      227.2   110.6    86.8   132.5   144.9   212.6   244.3   263.7   278.0   295.8   319.5   359.8   454.7  1305.4  4170.3  29968.5    30025  1777988529234  1777988539337
read      230.3   111.2    93.8   136.4   148.3   214.8   248.4   268.6   283.9   302.1   325.2   363.1   455.9  1459.7  4068.7  30076.6    30030  1777988540851  1777988550957
read      233.8   105.5    86.8   133.7   146.6   220.3   253.2   273.4   289.0   307.5   332.4   373.7   468.6  1116.2  4114.2  30039.2    30035  1777988552469  1777988562568
read      236.6   111.0    86.8   135.5   148.5   221.6   256.3   276.6   292.6   311.7   336.6   375.8   471.6  1332.4  3936.4  30138.3    30040  1777988564081  1777988574183
read      234.5   106.9    86.8   136.8   149.2   220.0   254.0   274.0   289.3   307.2   330.6   368.4   461.3  1448.8  3159.5  29981.2    30045  1777988575696  1777988585797
read      237.8   103.5    86.8   138.3   150.7   223.7   258.4   278.9   294.4   313.2   338.1   377.4   466.0  1003.7  3381.6  30022.1    30050  1777988587310  1777988597416
read      221.7   109.6    74.4   131.3   142.8   206.9   238.4   257.2   271.3   288.1   309.9   344.7   440.8  1483.2  3188.6  30090.3    30055  1777988598928  1777988609029
read      237.7   124.9    86.8   136.3   148.8   220.5   254.7   275.4   291.5   310.9   337.0   380.2   488.6  1698.9  4471.5  30102.6    30060  1777988610542  1777988620644
read      225.9   121.6    86.8   131.7   143.1   208.4   241.1   261.4   276.1   294.7   318.8   359.4   466.6  1699.5  4175.6  30085.1    30065  1777988622157  1777988632260
read      229.5   114.0    86.8   132.7   144.7   213.2   246.4   266.7   281.8   299.8   324.2   365.3   471.3  1515.2  3435.3  30071.4    30070  1777988633774  1777988643876
read      225.8   136.4    86.8   132.1   143.5   207.8   239.7   259.7   274.9   293.3   317.1   358.4   459.7  2188.1  5060.7  30078.7    30075  1777988645387  1777988655492
read      236.4   146.1    86.8   132.8   145.4   218.0   252.1   272.3   288.0   306.9   332.2   374.1   499.4  2358.1  4936.7  30050.3    30080  1777988657004  1777988667111
read      226.7   103.1    86.8   132.4   145.1   215.9   247.8   266.3   279.4   295.0   315.7   347.4   431.4   942.4  3767.4  30120.0    30085  1777988668622  1777988678728
read      222.1    92.8    80.4   131.8   144.2   211.4   241.8   259.3   272.0   288.2   309.0   341.9   434.8   757.9  3110.4  30101.6    30090  1777988680241  1777988690343
read      222.9    89.3    80.4   129.5   142.4   212.6   243.7   262.0   274.6   290.9   312.4   345.6   433.9   712.3  2911.3  30102.1    30095  1777988691858  1777988701959
read      218.8    91.1    80.4   129.4   141.2   208.4   238.6   256.0   269.2   284.8   304.9   338.3   426.5   676.2  3358.2  30076.3    30100  1777988703471  1777988713575
read      239.2   878.3    86.8   132.8   144.8   213.4   245.1   263.5   276.3   293.2   315.2   352.7   480.3  1081.5 65484.3  30119.1    30105  1777988715088  1777988725195
