#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      221.2   104.3    86.8   134.2   145.5   210.0   240.1   257.7   270.3   285.5   304.7   336.2   422.0   874.7  4214.5  29860.0    30000  1777994525727  1777994535920
read      226.0   100.5    86.8   135.0   147.0   213.5   245.4   264.1   277.3   293.6   315.3   351.0   442.5   907.0  3646.7  30090.4    30005  1777994537433  1777994547563
read      228.3    96.3    86.8   135.7   148.5   218.0   248.9   266.3   278.6   293.7   314.3   348.6   445.7   808.1  3217.0  29949.5    30010  1777994549078  1777994559181
read      225.4    91.4    80.4   134.7   147.4   214.9   245.6   263.2   275.2   291.0   310.9   343.0   434.9   935.5  3204.3  30048.9    30015  1777994560694  1777994570796
read      235.7   108.3    86.8   138.1   150.8   222.3   255.2   274.3   288.9   306.1   328.8   368.0   469.4  1241.3  3889.1  30052.6    30020  1777994572307  1777994582410
read      241.2   139.8    86.8   140.6   153.5   224.5   258.8   278.9   294.0   312.8   338.2   381.2   491.0  1652.3  4331.9  30015.8    30025  1777994583922  1777994594034
read      231.4   105.4    86.8   139.6   151.3   216.0   248.0   267.1   281.1   297.7   320.9   361.4   467.0  1472.2  3221.6  30054.8    30030  1777994595548  1777994605653
read      224.3   114.2    86.8   135.1   146.5   209.3   240.0   258.8   272.5   289.4   311.5   347.9   457.0  1230.8  4335.9  30076.0    30035  1777994607167  1777994617271
read      233.4   111.7    86.8   137.1   149.5   217.6   250.6   270.4   285.6   303.9   329.2   371.8   475.3  1414.0  4280.7  30147.5    30040  1777994618783  1777994628887
read      240.9   111.6    86.8   137.9   150.8   226.3   261.6   282.0   296.9   316.2   341.6   384.0   483.8  1291.1  3704.6  30107.9    30045  1777994630400  1777994640501
read      235.1   115.1    86.8   138.1   149.9   219.7   254.1   274.0   289.0   306.6   330.3   370.3   478.7  1278.8  3675.5  30045.9    30050  1777994642014  1777994652118
read      230.5   100.8    80.4   133.8   146.4   215.4   248.5   268.3   283.1   300.7   325.0   368.1   489.7  1179.6  2994.0  29951.2    30055  1777994653635  1777994663738
read      230.5   109.9    86.8   134.9   146.9   215.7   248.8   268.0   282.2   299.4   323.5   366.4   482.7  1107.4  4539.6  30169.7    30060  1777994665252  1777994675353
read      227.6   131.6    86.8   129.0   140.6   211.2   244.4   263.8   277.7   295.6   319.0   362.4   485.8  1914.4  4740.6  30146.0    30065  1777994676866  1777994686969
read      230.4   113.6    86.8   131.3   143.2   215.0   249.2   268.7   283.0   299.9   323.7   366.9   491.2  1509.9  3231.8  30018.5    30070  1777994688482  1777994698586
read      227.2   103.6    80.4   134.2   145.8   213.4   246.3   265.4   278.9   295.1   316.9   353.8   459.9  1303.5  3608.9  30078.4    30075  1777994700100  1777994710200
read      225.2    93.2    80.4   134.0   146.1   214.0   245.0   262.7   274.8   290.9   311.8   346.3   449.8   945.1  3129.7  30137.2    30080  1777994711714  1777994721817
read      223.8    81.3    80.4   132.8   145.1   214.2   245.7   263.3   275.1   290.6   310.3   342.5   437.6   675.9  2801.4  30178.7    30085  1777994723329  1777994733432
read      231.1   117.5    80.4   133.4   146.6   219.1   251.8   270.3   284.1   299.9   321.2   359.1   461.9   902.8  5700.3  30005.2    30090  1777994734946  1777994745050
read      226.1    87.6    80.4   136.6   148.8   215.9   246.7   264.1   276.2   292.0   311.8   343.2   437.7   715.0  3186.6  30140.9    30095  1777994746565  1777994756674
