#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      230.7   113.4    80.4   130.5   143.5   218.2   251.5   270.4   284.4   300.3   320.9   358.9   466.7  1343.4  3812.0  29860.7    30000  1778008784541  1778008794684
read      225.6    90.1    86.8   131.9   144.5   214.6   246.9   265.5   278.6   294.6   315.4   348.4   443.5   718.2  3157.9  29861.5    30005  1778008796197  1778008806329
read      231.6   100.2    80.4   134.8   148.4   220.2   253.1   271.6   285.3   300.7   320.5   357.2   461.7  1003.9  3921.9  29978.6    30010  1778008807842  1778008817944
read      228.9    95.2    80.4   131.9   144.6   216.6   249.1   267.5   280.9   296.7   318.2   358.7   490.0   954.6  3161.0  29972.9    30015  1778008819457  1778008829557
read      235.0   108.1    86.8   138.1   149.8   218.2   251.7   271.4   286.2   303.8   328.2   374.4   525.4  1366.0  3460.3  29881.5    30020  1778008831071  1778008841173
read      233.5   109.6    80.4   135.4   147.6   217.7   251.8   271.9   287.1   305.0   329.1   371.5   492.0  1367.5  3856.8  29984.4    30025  1778008842687  1778008852791
read      244.7   115.8    86.8   140.2   153.2   229.3   265.9   287.0   302.1   319.9   345.2   388.9   494.4  1290.4  4132.5  30065.2    30030  1778008854304  1778008864405
read      233.4   115.9    86.8   137.0   149.0   218.5   252.3   272.1   286.9   304.0   326.3   365.1   470.2  1391.3  4014.9  30006.1    30035  1778008865921  1778008876021
read      237.0   118.1    93.8   136.8   149.2   221.8   256.1   276.5   292.0   310.2   333.8   372.3   480.9  1497.2  3913.4  30098.6    30040  1778008877534  1778008887636
read      242.4   120.8    86.8   138.8   151.6   226.0   261.9   282.7   297.2   316.1   341.2   384.3   501.2  1541.2  4166.4  30050.9    30045  1778008889149  1778008899249
read      244.1   121.8    80.4   138.4   151.4   227.6   264.5   285.7   300.8   318.6   343.4   386.6   506.0  1836.8  3841.1  30114.4    30050  1778008900762  1778008910864
read      239.0   102.4    86.8   136.4   149.8   226.0   261.5   281.7   296.0   314.1   337.7   375.2   472.6  1123.1  3199.0  30047.6    30055  1778008912378  1778008922484
read      239.7    95.0    86.8   139.0   152.0   227.4   262.7   283.1   297.5   315.3   338.8   375.8   463.2   795.2  3130.5  29971.4    30060  1778008923999  1778008934103
read      225.0   108.2    86.8   130.0   141.4   211.3   244.6   263.9   277.6   294.1   315.3   349.0   456.7  1360.8  3999.0  29962.7    30065  1778008935616  1778008945718
read      224.8   106.9    86.8   129.8   141.4   210.5   243.0   262.3   275.9   292.8   314.4   349.6   461.6  1478.5  3158.1  30024.3    30070  1778008947230  1778008957331
read      232.4    92.4    86.8   135.8   148.7   221.8   254.8   273.7   287.7   303.5   323.2   358.0   449.1   891.4  3325.5  30111.5    30075  1778008958843  1778008968946
read      230.4    91.8    80.4   131.0   144.1   220.8   253.9   272.6   286.4   302.1   321.6   357.8   450.2   729.8  3213.7  30077.4    30080  1778008970458  1778008980559
read      223.9    89.7    80.4   130.2   142.8   214.9   246.7   264.6   277.1   292.5   312.2   342.4   423.6   682.5  3109.8  30134.7    30085  1778008982072  1778008992172
read      229.3    92.3    80.4   133.9   146.7   219.1   252.0   270.6   284.0   298.8   318.6   350.7   439.8   807.9  3111.3  30028.3    30090  1778008993684  1778009003784
read      228.4    92.0    86.8   136.5   148.5   218.2   250.2   268.2   281.2   296.0   316.0   346.5   439.2   769.1  3085.5  30126.7    30095  1778009005299  1778009015401
