#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      249.7   114.5    93.8   148.9   162.3   235.0   270.1   290.0   304.6   321.6   346.0   386.8   484.8  1390.1  4746.8  30013.1    30000  1778338819234  1778338829384
read      254.8   128.7    93.8   148.1   162.0   238.4   275.6   296.8   313.5   333.5   359.9   400.4   504.0  1423.7  5232.0  29991.9    30005  1778338830900  1778338841020
read      241.0   120.9    93.8   143.7   155.9   225.0   258.0   277.3   291.7   309.6   333.7   373.2   489.4  1751.8  4398.4  29985.1    30010  1778338842536  1778338852641
read      228.3   119.5    93.8   140.5   150.7   210.7   241.8   260.5   274.1   291.0   313.0   351.1   482.5  1776.9  4068.8  30046.9    30015  1778338854157  1778338864263
read      236.2   133.9    93.8   141.6   153.7   220.2   253.0   273.3   288.4   306.2   329.9   367.8   466.4  1216.6  6460.2  30022.2    30020  1778338865779  1778338875880
read      247.9   113.7    93.8   146.6   160.5   232.1   266.9   287.1   301.8   320.2   346.5   391.5   500.4  1254.2  4067.3  30071.3    30025  1778338877396  1778338887527
read      238.1    96.4    93.8   142.8   155.3   224.0   255.6   274.3   288.7   305.7   329.6   372.6   504.4   904.3  2932.7  30083.9    30030  1778338889041  1778338899146
read      250.5   104.4    86.8   151.1   164.2   235.2   270.0   289.8   304.6   322.0   346.7   390.7   508.9   982.5  3932.7  30064.4    30035  1778338900662  1778338910773
read      246.0   112.5    93.8   145.2   158.0   229.3   263.7   283.5   297.5   316.2   341.9   389.9   538.1  1358.2  3861.0  29984.2    30040  1778338912290  1778338922393
read      249.9   137.4    93.8   148.0   159.6   229.7   266.5   288.1   304.2   324.1   351.7   397.7   538.7  1951.3  5531.0  30029.7    30045  1778338923908  1778338934012
read      254.0   121.9   101.3   149.1   161.3   233.7   271.5   293.9   311.5   333.1   361.9   410.2   569.9  1369.8  3765.2  30052.0    30050  1778338935526  1778338945628
read      260.6   129.4   101.3   156.6   169.0   239.2   275.3   296.4   313.1   333.6   361.9   413.3   610.4  1824.5  4128.6  30076.2    30055  1778338947144  1778338957249
read      268.2   153.5   101.3   159.5   172.5   243.9   280.7   302.3   318.4   339.3   367.7   424.5   671.2  2478.0  4361.3  29978.5    30060  1778338958765  1778338968883
read      285.4   190.7   101.3   157.4   171.0   250.4   292.6   317.8   338.1   364.2   402.6   497.1   875.7  2541.0  5350.0  30151.7    30065  1778338970398  1778338980499
read      272.6   141.6   101.3   160.0   173.6   248.6   288.2   311.3   329.0   351.0   382.6   441.6   673.9  1845.4  4518.0  29970.9    30070  1778338982014  1778338992116
read      254.9   124.8   101.3   151.7   164.5   235.3   271.5   292.2   307.7   326.3   353.5   401.7   573.3  1697.8  4250.1  29972.0    30075  1778338993632  1778339003739
read      275.6   177.4   101.3   153.0   165.9   244.1   284.9   308.5   326.7   350.4   386.7   466.6   832.4  2597.6  4818.5  30079.4    30080  1778339005255  1778339015357
read      293.4   231.2   101.3   153.3   166.4   247.3   290.9   317.3   339.1   368.3   419.7   561.7  1105.4  3127.8  6282.1  30102.2    30085  1778339016874  1778339026977
read      274.2   165.8    93.8   153.9   166.8   245.5   286.2   309.7   327.2   349.6   383.7   458.0   786.8  2369.4  4662.5  29970.4    30090  1778339028491  1778339038593
read      270.0   165.9   101.3   151.9   164.3   237.3   277.0   300.2   318.0   342.1   379.2   470.2   841.2  2185.0  4392.8  30097.2    30095  1778339040111  1778339050215
read      260.5   145.2   101.3   149.4   161.9   236.6   275.0   297.0   314.4   336.0   366.3   424.2   664.4  1910.8  5008.4  30126.3    30100  1778339051729  1778339061831
read      244.8   125.8    93.8   140.4   153.1   226.7   262.8   283.8   298.5   317.3   342.8   390.2   550.5  1671.0  4119.9  30109.9    30105  1778339063346  1778339073448
