#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      225.9    98.5    80.4   133.5   147.7   214.0   244.8   263.8   277.5   294.6   316.4   346.8   409.6   920.8  3958.9  29856.0    30000  1778375707662  1778375717815
read      231.3   102.3    86.8   133.9   150.0   221.1   251.9   270.2   283.8   299.5   319.6   350.6   419.8   975.3  3771.9  29943.0    30005  1778375719328  1778375729462
read      223.2    92.5    86.8   135.3   148.9   211.6   240.9   259.0   272.3   289.0   309.9   340.6   404.3   920.2  3156.7  30099.3    30010  1778375730975  1778375741077
read      232.1   103.2    86.8   133.8   149.7   221.5   253.4   272.2   286.5   303.0   323.3   354.4   420.8   762.6  4104.2  30098.5    30015  1778375742591  1778375752695
read      234.2   100.6    86.8   139.9   153.6   219.9   251.8   271.2   286.2   304.0   327.0   363.0   449.7  1258.2  3394.8  29967.2    30020  1778375754210  1778375764310
read      239.6   109.6    86.8   146.3   160.5   225.5   255.6   273.8   288.5   306.0   329.0   365.8   457.5  1462.2  4098.0  29945.2    30025  1778375765820  1778375775926
read      234.1   112.9    86.8   142.6   156.0   219.1   249.3   268.0   282.4   299.7   322.2   359.2   448.2  1413.6  4017.9  30068.3    30030  1778375777440  1778375787541
read      231.8   111.6    86.8   136.6   149.9   217.3   249.4   268.9   283.7   301.7   325.5   362.3   446.4  1134.3  4317.1  29954.4    30035  1778375789052  1778375799155
read      228.7    99.7    86.8   140.0   153.0   215.4   244.5   262.5   275.6   292.8   314.9   348.1   429.8  1208.8  3580.5  30072.6    30040  1778375800668  1778375810772
read      231.2   115.4    86.8   136.7   149.9   215.7   247.0   266.6   281.2   298.7   321.1   357.0   447.1  1834.5  3551.7  30036.5    30045  1778375812285  1778375822389
read      235.8    96.9    80.4   138.6   153.2   224.2   256.2   275.0   289.7   306.9   328.6   361.9   434.9  1051.9  3330.1  30106.8    30050  1778375823901  1778375834002
read      231.4   107.0    86.8   138.4   151.5   218.2   249.6   268.4   282.4   299.0   320.4   354.4   433.5  1344.0  4206.0  30111.1    30055  1778375835514  1778375845614
read      229.9   117.4    86.8   134.7   148.6   215.5   247.5   267.0   281.4   297.9   320.0   354.2   435.4  1386.2  4875.8  29999.4    30060  1778375847127  1778375857232
read      230.1   130.0    86.8   132.2   145.8   213.5   246.0   266.5   281.9   300.3   323.7   360.2   458.8  1614.8  4372.6  29988.2    30065  1778375858746  1778375868850
read      228.0   119.4    86.8   133.6   147.0   212.8   244.1   263.9   278.5   296.2   318.6   352.0   432.8  1668.3  4534.7  30266.6    30070  1778375870365  1778375880467
read      229.5    95.9    80.4   137.1   149.8   217.2   249.1   268.7   283.3   300.3   321.4   353.9   422.7   918.2  3394.9  30111.5    30075  1778375881981  1778375892086
read      225.9    95.2    80.4   132.7   146.7   214.0   246.2   265.7   279.7   296.2   317.7   348.6   414.2   740.4  3191.8  30024.6    30080  1778375893599  1778375903700
read      223.2   101.6    86.8   135.5   149.3   212.3   241.4   259.0   271.8   287.9   308.1   338.2   399.1   683.9  3965.1  30119.0    30085  1778375905213  1778375915321
read      223.1    98.0    80.4   132.8   147.2   211.8   241.4   259.7   272.9   289.4   310.3   341.0   402.1   811.2  3806.1  30042.3    30090  1778375916834  1778375926939
read      233.3   377.4    80.4   141.0   155.3   221.1   251.1   269.3   282.9   298.7   319.6   350.6   416.9   817.8  3533.9  30072.5    30095  1778375928453  1778375938556
read      233.6   108.7    86.8   143.0   156.3   220.4   251.3   270.4   284.9   302.0   323.5   356.4   425.2  1030.9  5122.1  30073.5    30100  1778375940070  1778375950177
read      223.5   126.7    80.4   138.6   151.0   210.5   238.0   255.3   269.0   285.1   305.7   336.8   400.0  1370.7  6170.0  30164.5    30105  1778375951690  1778375961792
