#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      221.0   107.7    80.4   128.5   142.1   208.0   239.1   259.1   273.3   290.6   312.0   343.0   412.2   985.2  4752.7  29915.4    30000  1778369681293  1778369691486
read      238.0   113.2    80.4   132.9   147.1   221.2   258.9   281.8   298.5   318.5   344.3   388.2   477.5  1088.9  4182.4  29939.3    30005  1778369692999  1778369703134
read      228.5    92.8    80.4   135.3   149.5   215.6   247.6   267.2   281.5   298.5   320.2   355.5   433.6   801.6  3072.4  30008.9    30010  1778369704648  1778369714748
read      222.7    93.3    74.4   129.1   142.3   209.4   241.4   262.1   277.1   295.3   317.7   351.9   429.4   699.4  3233.0  29990.0    30015  1778369716262  1778369726362
read      223.7    99.7    80.4   128.3   141.8   210.2   242.4   262.7   277.5   295.2   317.4   351.5   434.0   996.4  3272.0  30075.1    30020  1778369727875  1778369737979
read      242.7   116.0    86.8   141.4   155.4   225.2   261.3   282.9   298.5   317.6   342.5   383.6   485.4  1471.4  3462.0  30110.5    30025  1778369739491  1778369749597
read      229.7   111.0    86.8   134.1   147.7   213.6   246.0   266.4   281.4   299.5   323.4   362.9   462.1  1459.1  3961.1  30099.0    30030  1778369751110  1778369761211
read      226.6   124.5    80.4   128.5   141.8   210.0   243.0   264.3   279.8   298.0   321.4   360.0   456.7  1546.9  4346.7  30087.4    30035  1778369762724  1778369772828
read      237.7   114.0    86.8   137.1   151.5   222.0   256.0   276.3   292.2   311.0   335.3   374.0   472.0  1414.8  4584.6  30081.5    30040  1778369774340  1778369784441
read      230.1   106.1    86.8   129.1   143.1   214.7   248.9   270.3   286.3   305.1   329.0   366.3   462.4  1257.1  3262.1  30072.8    30045  1778369785954  1778369796061
read      222.4    94.4    80.4   126.2   141.0   210.0   241.3   261.4   275.5   293.5   315.4   346.4   425.4   932.5  2563.9  30111.3    30050  1778369797574  1778369807676
read      224.4    91.4    80.4   130.5   145.9   212.4   242.5   261.2   274.5   291.9   313.9   346.4   430.7   964.7  3065.9  30029.8    30055  1778369809189  1778369819295
read      223.5    92.2    80.4   123.8   140.2   212.5   244.9   264.4   278.4   295.2   316.4   346.9   419.6   771.3  3113.3  29965.6    30060  1778369820808  1778369830907
read      227.7   162.4    80.4   129.7   143.2   208.7   239.0   259.3   274.0   292.5   315.8   352.2   461.4  2622.0  6232.2  29958.3    30065  1778369832421  1778369842528
read      230.0   142.8    80.4   129.2   143.3   210.5   241.9   262.0   276.6   295.4   319.3   359.1   504.1  2144.1  4876.3  29979.0    30070  1778369844040  1778369854140
read      317.1   346.8    80.4   142.3   156.7   229.0   270.8   297.8   320.8   356.3   452.2   848.5  2273.3  3248.1  4953.9  30143.8    30075  1778369855652  1778369865755
read      321.5   383.9    80.4   139.8   154.4   231.5   273.7   301.5   323.4   356.5   433.9   850.7  2379.5  3495.5  8357.4  29984.1    30080  1778369867270  1778369877373
read      307.9   352.9    80.4   138.9   152.4   224.9   267.0   295.0   318.1   352.0   429.9   774.7  2164.3  4322.9  5813.9  30043.6    30085  1778369878885  1778369888991
read      230.8   128.8    80.4   135.3   149.7   217.2   249.7   269.2   283.7   300.8   322.2   356.4   433.0  1029.1  7243.2  30149.9    30090  1778369890506  1778369900613
read      234.1   140.0    80.4   134.2   148.2   215.2   248.2   268.9   284.6   303.5   327.5   366.7   480.5  2008.4  5123.7  30153.8    30095  1778369902125  1778369912228
read      225.5   149.6    80.4   128.0   141.4   207.1   237.5   257.7   272.5   290.4   312.9   346.0   443.8  2607.9  4843.0  30036.0    30100  1778369913740  1778369923845
read      246.3   179.4    80.4   133.9   150.6   223.1   257.6   278.7   294.9   314.8   340.5   384.3   565.2  2919.3  6015.9  30047.7    30105  1778369925358  1778369935458
read      247.0   238.7    74.4   130.2   145.1   215.4   249.8   271.2   287.8   307.9   334.9   382.1   708.9  3728.1  6454.7  30069.4    30110  1778369936970  1778369947075
read      220.3    93.8    74.4   122.9   138.0   208.3   240.7   261.2   275.7   293.7   315.5   345.7   411.9   765.5  3525.2  30135.6    30115  1778369948588  1778369958694
