#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      242.6   120.8    93.8   150.8   163.4   229.2   260.5   277.7   291.1   307.0   327.5   363.3   457.9  1395.3  5040.8  29928.8    30000  1777249109611  1777249119783
read      248.3   100.9    93.8   155.1   168.3   236.8   268.9   286.6   298.9   314.7   335.1   367.5   453.1  1123.6  4191.0  29935.5    30005  1777249121297  1777249131422
read      245.0    91.0    93.8   154.9   167.7   233.0   265.2   283.6   296.5   313.0   333.9   366.0   439.6   833.6  3082.0  29916.5    30010  1777249132935  1777249143038
read      233.8   111.6    93.8   145.7   156.9   219.5   250.4   268.5   281.6   296.8   317.9   352.4   454.7  1355.5  4323.7  30066.8    30015  1777249144552  1777249154658
read      241.3   148.5    93.8   149.9   161.4   221.7   253.4   272.0   286.3   302.8   324.3   360.2   491.5  2374.6  5829.4  30036.7    30020  1777249156171  1777249166272
read      235.2   117.2    93.8   148.3   159.4   220.4   251.2   269.2   282.5   297.4   318.2   350.3   444.0  1579.8  4969.6  29937.1    30025  1777249167786  1777249177889
read      248.2    99.1    93.8   156.3   169.3   235.9   267.9   285.8   298.3   314.5   335.2   367.2   454.4  1109.3  3731.2  30084.5    30030  1777249179404  1777249189509
read      243.7    95.4    93.8   154.0   167.1   231.7   262.9   280.7   293.7   309.9   330.6   364.2   446.6   824.7  3034.0  29966.0    30035  1777249191023  1777249201130
read      244.9    93.6    93.8   154.3   167.2   234.3   265.8   283.1   295.4   311.1   330.8   362.2   436.0   817.3  3519.5  30073.4    30040  1777249202646  1777249212753
read      251.8   387.1    93.8   155.5   169.5   239.9   271.5   289.4   302.2   317.5   338.7   372.1   482.4   880.1  3186.3  30108.4    30045  1777249214268  1777249224371
read      244.3   147.1    93.8   151.6   163.3   225.5   256.8   274.7   289.2   306.3   328.9   368.0   524.1  2092.2  6292.9  30028.2    30050  1777249225890  1777249235993
read      251.3   109.6    93.8   152.2   165.3   236.1   270.1   289.8   304.5   321.6   345.4   386.6   499.3  1341.5  3231.2  30096.8    30055  1777249237507  1777249247607
read      250.3   120.6    93.8   149.6   162.6   233.8   268.3   288.2   302.8   320.3   344.9   388.0   512.4  1615.8  4396.5  30033.3    30060  1777249249120  1777249259223
read      238.7   108.0    93.8   150.5   162.2   223.8   254.7   273.3   287.5   303.7   324.5   359.7   454.6  1504.8  4134.8  30029.5    30065  1777249260737  1777249270839
read      239.5   101.8    93.8   149.1   161.3   225.3   256.5   274.7   289.2   305.9   327.6   363.9   463.1  1441.5  3062.1  30103.0    30070  1777249272353  1777249282461
read      250.2   103.0    93.8   149.3   162.9   237.4   271.7   291.1   305.5   321.9   345.0   383.4   483.5  1154.0  3716.2  30156.9    30075  1777249283974  1777249294076
read      246.3   106.5    93.8   154.0   166.9   232.7   264.8   282.7   295.5   311.8   332.7   366.9   484.1  1236.9  3627.0  30024.5    30080  1777249295589  1777249305697
read      255.7   125.4    93.8   152.9   167.1   241.7   274.5   293.4   307.6   323.6   345.8   388.1   536.6  1267.0  4351.3  30117.8    30085  1777249307210  1777249317313
read      277.1   179.1    93.8   155.7   170.1   249.6   286.4   308.4   325.0   346.4   381.3   461.9   773.5  2981.5  5537.6  30088.8    30090  1777249318828  1777249328930
read      270.0   242.0    93.8   151.7   164.0   231.9   268.0   289.7   306.4   327.2   359.4   432.7   992.6  3448.9  6318.8  30006.1    30095  1777249330445  1777249340550
read      247.3   148.2    93.8   150.0   161.3   222.8   254.7   274.3   290.1   309.6   337.2   395.7   670.7  2081.0  5069.5  30097.9    30100  1777249342064  1777249352165
read      261.2   231.7    93.8   150.7   162.2   225.3   258.6   278.3   293.6   313.3   341.4   402.4  1011.5  3213.4  6300.8  30115.7    30105  1777249353680  1777249363784
read      242.6   108.2    93.8   150.7   162.6   227.0   258.8   276.4   290.2   306.5   328.0   367.9   539.1  1141.7  4019.5  30036.7    30110  1777249365299  1777249375401
read      239.4   106.2    86.8   147.6   160.5   226.1   257.3   274.8   288.5   304.3   324.6   360.1   487.0  1123.3  4135.4  30062.9    30115  1777249376916  1777249387020
