Warning! Detected max cpu usage > 95%
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      252.3   198.7    86.8   151.7   164.0   231.1   264.6   283.5   296.9   314.1   336.7   373.1   533.1  3229.6  7431.5  30064.2    30000  1777270845765  1777270856026
read      249.1   457.1    93.8   152.1   164.3   226.0   256.3   273.6   287.2   303.0   324.5   365.9   557.4  2628.4  9270.8  29950.0    30005  1777270857541  1777270867773
read      233.1   130.6    93.8   146.5   158.2   219.2   249.3   267.0   279.7   294.7   315.3   346.7   435.9  1264.7  5123.3  30137.3    30010  1777270869284  1777270879494
read      239.8   119.1    93.8   149.0   161.5   226.9   257.9   275.0   288.5   303.8   323.6   359.0   451.7  1264.6  5260.4  30118.4    30015  1777270881010  1777270891174
read      245.4   135.0    93.8   150.6   163.1   229.6   262.4   281.5   295.3   312.7   335.1   370.6   487.4  1577.3  4538.6  29992.3    30020  1777270892688  1777270902862
read      252.1   133.3    93.8   153.1   165.9   236.0   270.5   290.3   305.0   321.7   344.8   382.9   497.8  1543.4  5194.6  30040.8    30025  1777270904376  1777270914570
read      250.6   150.4    93.8   153.9   166.7   234.6   268.2   287.5   301.5   318.3   340.9   375.4   476.1  1547.3  7464.7  30026.0    30030  1777270916083  1777270926278
read      241.7   136.7    93.8   150.0   161.8   224.6   256.8   275.5   290.4   307.8   330.9   369.3   502.0  1371.0  6229.4  29905.6    30035  1777270927790  1777270937995
read      244.7   151.9    93.8   150.2   162.0   227.1   260.5   279.8   294.2   312.0   335.0   371.6   496.8  1668.5  6415.1  29962.4    30040  1777270939508  1777270949713
read      269.1   336.6    93.8   152.3   165.1   234.6   270.2   291.1   306.9   325.9   353.2   403.7   737.1  5041.8 13466.4  30072.3    30045  1777270951228  1777270961554
read      260.0   288.5    93.8   150.6   163.0   229.1   263.7   284.3   299.6   318.7   345.1   397.4   702.7  3917.4 11906.9  30120.4    30050  1777270963079  1777270973486
Connection.cc(489): BEV_EVENT_ERROR for 100.96.6.173:11211 : Network is unreachable
