#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      267.5   140.9    93.8   160.7   174.5   248.5   284.3   304.6   319.4   340.5   369.5   417.9   566.5  2170.6  4888.4  30034.1    30000  1776909102048  1776909112177
read      269.5   123.5    93.8   162.8   176.6   250.2   285.5   305.7   320.2   341.5   371.6   424.3   621.0  1674.8  3424.7  30021.1    30005  1776909113696  1776909123810
read      248.8   112.0    93.8   153.1   166.1   232.9   265.6   284.0   297.0   314.1   337.7   380.1   523.2  1411.0  4126.1  29996.0    30010  1776909125326  1776909135423
read      243.7   116.5    93.8   150.0   162.4   226.8   258.2   276.0   290.0   306.5   329.3   372.1   541.8  1606.2  3426.2  29992.6    30015  1776909136935  1776909147035
read      260.2   109.4    93.8   156.2   169.9   243.6   278.9   298.9   314.2   333.6   362.1   409.1   550.0  1213.8  3231.1  30080.1    30020  1776909148549  1776909158648
read      267.7   123.7    93.8   162.0   176.1   249.7   285.8   306.1   320.0   339.3   367.3   419.1   591.0  1320.9  4240.3  30090.5    30025  1776909160162  1776909170260
read      260.7    93.1    93.8   162.8   176.9   247.9   281.3   300.0   313.9   331.0   354.7   398.1   502.3   830.0  2954.6  30032.9    30030  1776909171775  1776909181873
read      267.1   103.5   101.3   166.1   180.4   253.8   289.0   308.6   322.0   340.2   365.1   404.5   503.6   913.5  3389.7  30127.6    30035  1776909183386  1776909193485
read      267.8    99.5   101.3   164.7   179.0   254.7   291.0   310.7   324.4   342.2   367.7   408.3   504.4   993.5  3318.8  29974.9    30040  1776909194998  1776909205096
read      258.0   106.0   101.3   162.0   175.3   243.4   276.4   295.2   309.7   326.7   351.0   393.4   489.3  1298.0  3230.9  30119.5    30045  1776909206609  1776909216707
read      255.8   112.1   101.3   162.9   175.9   240.7   271.5   289.5   302.7   318.7   342.7   384.5   497.4  1457.9  4294.8  30093.4    30050  1776909218221  1776909228318
read      257.9   112.5    93.8   162.2   175.2   241.9   274.1   292.8   307.0   323.5   348.3   392.3   508.7  1645.2  3885.0  30045.2    30055  1776909229830  1776909239927
read      340.0   359.4   101.3   166.1   180.2   258.1   298.4   326.2   351.8   391.6   471.1   743.5  2410.3  3482.3  6923.8  30154.5    30060  1776909241439  1776909251586
read      366.3   378.3   101.3   169.6   184.5   270.0   316.8   353.1   388.5   446.3   580.3   849.4  2306.4  3883.4  7166.0  29959.9    30065  1776909253102  1776909263316
read      269.6   186.3   101.3   161.6   174.6   240.5   274.1   293.8   309.3   328.5   358.2   414.0   856.0  2641.4  5449.3  30195.6    30070  1776909264831  1776909274941
read      263.6   113.6   101.3   163.0   176.8   249.0   284.3   303.9   318.1   337.0   362.1   401.1   496.0  1370.7  3704.2  30178.3    30075  1776909276451  1776909286549
read      271.8   111.6   101.3   164.5   179.5   258.0   294.7   315.7   332.0   351.6   377.5   418.1   504.7  1049.7  4132.5  30130.7    30080  1776909288061  1776909298158
read      269.1   105.9    93.8   163.3   177.9   255.1   292.4   313.7   329.8   349.1   374.6   414.9   500.8   922.6  3614.3  30115.2    30085  1776909299669  1776909309771
read      268.2   101.0    93.8   161.4   175.8   254.6   292.8   314.5   331.1   350.7   375.7   415.5   500.5   752.8  3326.8  30071.8    30090  1776909311284  1776909321382
read      260.1   105.0    93.8   162.2   176.0   247.2   280.6   299.1   313.7   331.5   355.4   393.6   476.1  1057.6  3658.5  29997.3    30095  1776909322894  1776909332995
read      265.1   116.0    93.8   163.1   177.0   251.1   287.3   307.5   321.7   341.2   366.7   403.5   490.9   937.4  4111.6  30140.2    30100  1776909334507  1776909344609
read      260.7    95.5    93.8   160.1   173.8   247.5   284.2   304.6   319.0   338.2   363.0   399.8   482.4   710.3  3570.5  30000.5    30105  1776909346121  1776909356221
read      255.3    91.1    93.8   160.2   174.0   243.4   276.9   295.2   309.2   325.2   347.0   383.3   461.4   841.0  3176.2  30105.8    30110  1776909357733  1776909367832
read      267.3    97.5    93.8   162.9   177.1   252.9   292.0   313.7   329.9   348.9   373.9   411.1   490.8   777.9  3129.8  30131.1    30115  1776909369346  1776909379446
read      266.6   105.3    93.8   160.5   174.9   252.4   290.2   311.5   327.2   346.3   372.9   413.5   503.4   920.1  3616.3  30201.2    30120  1776909380959  1776909391058
read      266.3    99.3   101.3   163.0   177.3   253.3   291.1   311.9   326.9   345.0   369.2   403.4   480.2   796.8  3356.1  30083.5    30125  1776909392570  1776909402668
read      262.3    94.2    93.8   162.1   176.4   248.4   283.5   304.0   318.9   339.1   365.3   402.8   484.8   757.3  3128.8  30183.2    30130  1776909404181  1776909414281
read      267.5    96.7    93.8   164.9   178.9   253.1   290.6   312.2   328.3   347.5   373.0   410.5   489.8   815.8  3730.2  30141.3    30135  1776909415794  1776909425892
read      262.8    99.5    93.8   159.5   173.3   247.3   286.2   308.3   324.1   344.0   370.5   408.9   495.2   843.1  3018.4  30142.6    30140  1776909427404  1776909437504
read      258.0    96.0    93.8   158.6   172.4   244.4   280.8   300.7   315.1   333.0   356.8   394.8   482.1   821.0  3057.0  30048.0    30145  1776909439017  1776909449114
read      263.9    99.5    93.8   162.1   175.8   248.9   286.3   307.6   323.0   343.1   369.1   406.7   490.8  1028.9  3062.6  30205.6    30150  1776909450627  1776909460726
read      260.1    92.2    93.8   165.3   179.1   248.1   281.3   299.6   313.6   330.4   352.3   388.2   466.8   789.5  3215.9  30151.8    30155  1776909462238  1776909472336
read      263.7    98.2    93.8   161.6   175.5   250.1   286.9   307.5   321.9   341.4   367.0   404.1   489.5   818.6  3109.0  30173.2    30160  1776909473847  1776909483946
read      266.6    99.8    93.8   163.2   177.4   252.8   289.9   311.1   326.5   345.2   370.5   408.4   494.1   778.3  4142.6  30074.8    30165  1776909485458  1776909495559
read      273.5   106.4    93.8   165.8   180.0   258.1   298.0   320.2   337.4   357.6   383.1   421.9   512.3  1084.0  3360.3  30026.3    30170  1776909497071  1776909507170
read      273.9   110.9    93.8   165.8   180.2   258.6   297.7   319.5   336.8   357.4   383.7   423.0   517.1  1078.6  3762.9  30203.9    30175  1776909508686  1776909518793
read      270.5   104.1    93.8   164.6   178.4   254.7   293.9   315.4   331.8   351.2   377.1   419.2   526.7  1044.5  3402.3  30077.0    30180  1776909520307  1776909530406
read      275.4   111.6    93.8   164.3   178.9   260.1   300.0   321.4   339.0   359.8   386.4   426.8   532.6  1243.7  4054.2  30115.3    30185  1776909531918  1776909542018
read      267.0   107.8   101.3   163.6   177.4   252.0   289.5   310.5   325.5   344.8   370.9   410.0   504.6   934.7  3483.8  30188.0    30190  1776909543531  1776909553636
read      266.8   117.4    93.8   161.5   174.7   249.0   288.6   310.3   325.9   345.9   373.6   418.9   542.4  1232.0  4798.1  30226.6    30195  1776909555150  1776909565248
read      270.7   122.7    93.8   160.9   174.6   251.0   291.2   313.6   330.9   352.4   381.5   428.0   589.1  1369.0  4363.6  30171.7    30200  1776909566762  1776909576865
read      277.7   112.7   101.3   166.1   180.6   261.2   301.9   324.5   342.4   364.3   391.4   431.7   539.1  1152.4  4113.5  30200.2    30205  1776909578377  1776909588475
read      264.9    98.0    93.8   161.3   175.3   249.7   287.3   308.4   323.2   343.4   370.5   412.0   512.2   876.8  3091.7  30279.4    30210  1776909589987  1776909600087
read      276.9   133.6   101.3   155.8   170.7   256.5   299.3   322.7   341.7   365.1   395.7   448.9   638.0  1437.1  4171.1  30166.4    30215  1776909601601  1776909611701
read      263.1   104.3    93.8   157.3   171.3   246.7   286.5   309.1   325.4   346.2   373.4   415.1   503.5   846.6  3462.7  30192.4    30220  1776909613214  1776909623317
read      268.3   110.4    93.8   160.7   174.9   252.3   291.9   314.0   330.9   351.6   378.6   420.1   513.1   897.9  4062.1  30221.3    30225  1776909624829  1776909634929
read      265.6   106.3    93.8   159.3   173.8   250.9   289.9   311.0   326.3   345.4   371.7   411.9   506.3   914.2  3613.3  30244.5    30230  1776909636442  1776909646543
read      268.1   104.9    93.8   161.1   175.2   252.7   292.1   314.0   330.7   351.1   377.9   418.7   509.3   903.5  4039.9  30314.5    30235  1776909648055  1776909658153
read      267.7   103.0    93.8   161.1   175.0   251.9   290.7   312.4   328.6   348.7   376.2   420.2   532.1   970.5  3190.4  30267.5    30240  1776909659665  1776909669763
read      268.9   107.1   101.3   161.6   175.7   252.7   292.5   314.4   331.4   352.4   380.3   422.2   517.1   917.7  3228.0  30348.6    30245  1776909671278  1776909681377
read      270.6   104.2   101.3   163.1   177.2   254.1   294.2   316.2   333.9   355.6   383.7   425.4   524.1   892.8  3135.5  30265.5    30250  1776909682890  1776909692990
read      264.2    99.7    93.8   156.9   171.0   249.2   288.6   310.4   326.1   345.9   372.9   415.3   512.2   823.3  3392.7  30274.7    30255  1776909694502  1776909704600
read      273.4   103.9    93.8   161.4   175.8   257.5   299.5   322.1   340.6   362.7   390.5   431.2   531.2   805.7  3518.1  30215.7    30260  1776909706113  1776909716212
read      272.0   109.6    93.8   161.9   175.9   254.5   296.3   319.5   338.5   360.9   388.8   429.5   525.8  1003.2  4097.0  30299.5    30265  1776909717725  1776909727825
read      280.5   117.0    93.8   164.0   179.1   264.4   307.1   331.5   350.1   372.5   400.2   441.7   539.2   848.4  4195.9  30277.8    30270  1776909729336  1776909739433
read      270.4   117.4    93.8   161.4   175.4   253.6   294.9   317.6   335.5   357.1   384.8   425.4   509.1   973.4  4489.2  30126.4    30275  1776909740946  1776909751045
read      269.4   100.2    86.8   161.4   175.7   253.3   293.9   316.8   335.1   357.1   384.1   423.3   505.2   833.8  3288.5  30257.6    30280  1776909752557  1776909762658
read      267.1   108.9    93.8   157.9   172.6   251.6   292.3   314.9   332.1   352.8   379.8   419.8   503.7   810.2  4226.3  30251.3    30285  1776909764172  1776909774272
read      272.0    99.7   101.3   162.6   177.2   256.0   295.7   318.1   336.2   358.3   386.5   428.6   527.7   809.9  3104.1  30347.7    30290  1776909775786  1776909785886
read      269.8   102.8    93.8   158.9   174.0   255.7   295.9   317.5   334.6   355.2   382.4   423.2   510.0   757.8  3182.9  30234.6    30295  1776909787399  1776909797501
read      282.4   105.5   101.3   167.6   183.5   266.8   307.4   330.9   348.8   371.5   399.6   441.4   538.2   979.1  3223.3  30331.6    30300  1776909799014  1776909809112
read      260.2    97.2    86.8   156.6   170.8   246.5   284.9   306.0   320.3   339.3   363.8   400.7   483.9   804.6  3411.6  30283.6    30305  1776909810624  1776909820726
read      276.9   108.3   101.3   165.3   180.4   260.7   301.5   323.8   341.5   363.6   391.8   433.5   533.5   948.1  3857.6  30258.0    30310  1776909822238  1776909832335
read      263.9   106.4    93.8   155.4   170.0   249.6   289.6   311.2   326.7   345.8   372.4   412.0   497.6   867.1  3758.9  30239.1    30315  1776909833847  1776909843947
read      274.2   105.3    93.8   158.9   174.3   259.3   301.9   325.1   343.0   365.2   392.9   433.3   525.1   819.7  3068.7  30413.4    30320  1776909845459  1776909855560
read      272.7   105.4    93.8   162.7   177.4   257.4   298.1   320.1   337.6   358.6   385.9   426.2   509.0   905.5  3843.5  30268.7    30325  1776909857073  1776909867172
read      266.4   119.8    93.8   162.9   177.0   250.7   288.8   310.2   325.3   344.0   370.5   410.4   497.4  1110.9  4063.8  30386.4    30330  1776909868686  1776909878784
read      283.5   133.3   101.3   166.6   182.2   268.1   310.0   333.1   349.7   371.3   398.6   440.3   546.4  1125.2  4060.6  30327.9    30335  1776909880298  1776909890398
read      274.9   121.1    86.8   161.8   176.3   256.9   297.4   319.3   337.1   358.6   387.4   433.6   570.5  1474.4  4221.3  30348.3    30340  1776909891913  1776909902012
read      266.1   100.1    93.8   155.8   170.2   250.9   291.9   314.2   330.7   350.6   377.8   421.0   526.1   863.0  2813.1  30294.6    30345  1776909903528  1776909913637
read      271.0   117.0    93.8   161.0   175.3   254.4   295.3   317.7   335.1   356.4   385.3   428.1   522.9   940.2  4204.3  30332.8    30350  1776909915154  1776909925259
