#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      240.5    96.0    86.8   137.2   149.8   226.0   267.9   290.4   306.3   324.1   346.8   384.6   463.6   679.1  2526.8  29847.8    30000  1775046227780  1775046237911
read      247.7   107.3    80.4   140.0   153.1   232.9   275.2   297.6   313.9   332.7   356.6   394.2   480.8   857.9  4226.9  29895.6    30005  1775046239423  1775046249548
read      247.4   107.4    80.4   132.9   146.9   233.8   276.8   299.5   315.8   335.0   359.7   398.8   499.4   944.4  3360.8  30056.6    30010  1775046251062  1775046261162
read      250.7   201.4    86.8   134.8   146.6   222.1   267.0   292.0   309.9   330.4   356.7   397.3   573.4  3282.6  6228.0  29993.5    30015  1775046262675  1775046272775
read      251.1   201.5    80.4   131.6   144.0   223.7   268.3   293.2   311.0   331.8   358.8   400.7   560.7  3366.2  6176.5  29947.5    30020  1775046274288  1775046284390
read      245.3   109.9    80.4   136.5   149.4   229.6   273.0   296.6   313.8   333.8   359.0   396.8   473.9   957.4  3797.1  30011.2    30025  1775046285903  1775046296003
read      285.3   250.1    80.4   142.4   156.9   246.7   292.3   317.6   336.6   359.9   392.4   460.0  1230.0  3349.4  6314.5  29984.8    30030  1775046297519  1775046307621
read      309.2   336.5    80.4   134.0   148.1   241.3   287.4   313.7   335.0   364.6   418.8   678.3  1982.9  3714.9  6444.5  29897.5    30035  1775046309140  1775046319239
read      301.8   331.3    86.8   137.7   150.0   232.5   277.6   303.3   322.6   350.2   400.5   691.4  1928.3  3924.3  6451.6  30081.2    30040  1775046320751  1775046330851
read      293.8   332.7    86.8   131.3   144.0   226.9   271.7   297.1   316.8   342.9   389.6   652.4  1899.3  3433.5  8782.6  30035.2    30045  1775046332364  1775046342465
read      294.1   311.2    80.4   134.6   147.2   228.7   273.6   298.9   318.1   343.4   388.5   661.8  1866.2  3093.5  6389.8  30114.8    30050  1775046343978  1775046354078
read      302.6   327.8    80.4   135.7   149.5   233.8   278.9   304.7   324.0   350.9   398.9   707.2  1897.3  3733.0  6405.4  30145.8    30055  1775046355596  1775046365697
read      284.2   318.5    80.4   131.2   142.9   218.6   261.8   286.0   304.2   327.9   368.2   623.5  1869.3  3298.4  6447.1  30080.8    30060  1775046367211  1775046377313
read      293.6   309.5    80.4   132.8   145.4   230.0   275.6   301.0   319.6   344.8   390.7   660.9  1746.5  3339.4  6414.0  30074.9    30065  1775046378826  1775046388925
read      283.2   302.0    80.4   133.0   144.9   218.0   260.9   285.6   303.7   327.2   369.0   658.4  1694.9  3109.4  6358.8  30031.4    30070  1775046390439  1775046400537
read      299.5   316.8    74.4   131.6   145.4   237.1   283.4   308.8   328.0   354.0   399.0   636.8  1893.7  3403.5  6385.8  30113.6    30075  1775046402051  1775046412155
read      300.3   323.3    80.4   135.0   148.3   231.9   276.7   302.6   321.9   350.0   401.0   685.6  1917.9  3404.7  6390.2  30163.7    30080  1775046413668  1775046423770
read      294.5   309.2    80.4   130.8   143.9   232.7   278.5   303.8   321.7   346.2   391.1   650.9  1804.0  3304.3  6377.5  30123.7    30085  1775046425284  1775046435382
read      302.4   329.9    86.8   136.5   149.9   233.8   278.6   304.1   322.8   349.7   398.2   687.2  1966.4  3463.8  6450.9  30057.5    30090  1775046436898  1775046446997
read      299.6   323.5    80.4   134.8   147.9   232.8   278.1   303.5   322.2   347.2   394.0   675.0  1974.5  3394.3  6393.5  30119.1    30095  1775046448511  1775046458611
read      307.3   311.6    86.8   136.5   150.8   243.2   289.0   314.8   335.2   362.7   411.4   689.9  1832.2  3149.4  6371.3  30140.1    30100  1775046460125  1775046470224
read      301.3   320.0    80.4   135.7   149.3   234.3   280.2   306.4   325.9   353.0   400.4   678.9  1828.1  3361.8  6436.2  30095.4    30105  1775046471737  1775046481837
read      291.7   311.9    80.4   131.9   144.5   227.5   272.3   297.0   316.3   341.6   385.9   652.7  1822.9  3305.7  6369.7  30054.3    30110  1775046483351  1775046493453
read      284.1   299.6    80.4   129.9   142.7   228.5   273.3   297.7   316.0   339.5   376.4   528.9  1532.7  3334.3  6409.9  30014.1    30115  1775046494968  1775046505071
read      244.1    96.8    80.4   137.0   150.3   230.5   272.9   295.1   311.1   329.6   353.1   390.2   467.0   662.0  3181.7  30163.7    30120  1775046506585  1775046516685
read      249.1    98.0    80.4   140.5   154.7   235.5   277.1   299.7   315.7   334.5   358.2   394.5   472.5   664.7  3185.9  30127.4    30125  1775046518199  1775046528299
