#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      245.7   106.4    80.4   138.8   152.0   232.3   273.9   296.2   312.0   330.1   352.7   388.0   463.0   824.1  3849.0  29952.1    30000  1775045193876  1775045204041
read      247.2   103.2    86.8   139.4   153.1   233.7   275.8   298.3   313.9   332.2   355.4   391.4   466.1   761.9  3084.7  30078.9    30005  1775045205555  1775045215685
read      244.4   104.5    80.4   138.0   150.9   231.1   272.5   294.4   310.0   327.6   349.6   386.0   466.8   893.0  3418.1  30088.5    30010  1775045217197  1775045227300
read      253.4   123.5    86.8   138.1   152.0   238.2   282.1   305.1   320.7   340.4   365.6   403.6   504.3  1308.0  3989.9  30084.0    30015  1775045228814  1775045238919
read      267.8   215.4    86.8   139.3   153.1   241.1   286.6   311.5   329.4   350.0   377.7   425.8   611.9  3463.7  6310.8  30045.6    30020  1775045240434  1775045250534
read      251.7   214.3    86.8   131.9   144.0   221.5   265.8   290.6   308.5   329.3   356.4   399.6   606.2  3388.0  6231.1  30031.9    30025  1775045252047  1775045262151
read      240.6   139.4    80.4   133.6   145.7   221.5   264.8   288.3   304.8   323.4   347.1   385.2   471.0  2229.5  4876.4  29989.7    30030  1775045263665  1775045273773
read      256.0   133.5    80.4   143.0   157.5   237.2   279.6   302.6   318.7   338.6   364.1   403.1   524.7  1964.5  4290.2  29986.7    30035  1775045275288  1775045285388
read      305.6   317.7    86.8   138.5   151.9   239.2   285.4   311.6   331.8   359.1   405.8   680.9  1924.8  3220.9  6374.4  30036.8    30040  1775045286903  1775045297005
read      310.8   328.8    80.4   136.8   150.7   243.3   289.4   314.8   335.1   362.9   412.2   702.0  1975.5  3283.8  6396.7  30060.7    30045  1775045298519  1775045308619
read      292.1   313.1    80.4   136.5   148.8   225.9   269.6   294.6   313.8   338.8   381.5   654.1  1843.3  3251.2  6368.8  30057.4    30050  1775045310133  1775045320236
read      292.9   313.0    80.4   132.2   145.2   228.6   274.0   299.0   317.9   343.0   387.1   635.6  1899.1  3198.7  6408.9  30059.9    30055  1775045321749  1775045331852
read      305.1   329.2    80.4   138.3   151.3   235.4   281.9   308.3   328.2   355.3   402.6   698.0  1961.8  3355.2  6401.8  30011.6    30060  1775045333364  1775045343479
read      307.3   324.0    80.4   139.4   152.8   237.6   283.8   310.6   331.4   360.0   411.5   713.3  1909.0  3253.3  6395.3  29964.3    30065  1775045344996  1775045355095
read      303.6   315.8    80.4   132.6   147.1   239.3   286.6   312.7   333.0   360.3   407.6   676.4  1854.4  3287.7  6370.8  30096.6    30070  1775045356607  1775045366706
read      310.4   330.1    80.4   138.1   151.9   241.1   287.8   314.5   335.5   363.9   414.8   700.3  1972.4  3431.6  6428.7  30076.1    30075  1775045368219  1775045378322
read      301.1   310.7    80.4   137.2   150.4   234.7   281.3   308.2   328.7   356.5   402.7   666.5  1831.9  3237.3  6350.4  30032.1    30080  1775045379835  1775045389937
read      307.3   323.0    80.4   132.6   147.1   242.8   289.7   315.6   336.2   364.0   412.7   675.2  1947.9  3204.9  6410.8  30086.7    30085  1775045391452  1775045401556
read      295.4   308.2    80.4   136.5   149.0   231.7   275.9   300.9   319.1   344.3   389.6   659.7  1787.8  3208.2  6418.4  29959.0    30090  1775045403071  1775045413178
read      294.3   316.1    80.4   133.5   146.9   230.1   274.3   299.6   319.0   345.0   391.4   654.4  1776.8  3342.6  7100.2  30124.3    30095  1775045414690  1775045424799
read      297.7   310.7    80.4   132.8   146.4   234.4   280.2   305.9   325.1   351.2   398.5   667.7  1715.8  3339.8  6409.7  30244.3    30100  1775045426320  1775045436423
read      309.3   323.9    86.8   136.6   150.9   243.1   288.6   314.3   334.9   363.2   414.9   694.1  1914.2  3299.1  6423.7  30023.3    30105  1775045437937  1775045448045
read      299.6   307.0    86.8   137.1   150.0   236.0   281.1   306.5   325.4   352.0   399.6   664.7  1833.6  3135.4  6364.5  30131.2    30110  1775045449560  1775045459666
read      303.8   316.3    86.8   134.4   148.4   239.6   285.0   310.5   330.6   358.0   405.4   677.9  1806.2  3391.6  6369.5  30141.6    30115  1775045461179  1775045471280
read      301.1   320.1    80.4   135.1   148.7   235.1   280.1   305.9   325.4   352.2   401.1   671.8  1865.1  3380.7  6401.7  30050.2    30120  1775045472793  1775045482899
read      250.1   113.3    80.4   140.3   154.2   235.1   277.3   299.9   315.9   335.2   359.9   397.7   483.2   929.4  3470.7  30180.7    30125  1775045484411  1775045494513
read      241.4   105.1    86.8   139.0   151.6   226.2   267.4   290.1   306.2   324.3   346.7   382.9   458.5   793.9  3539.7  30123.4    30130  1775045496026  1775045506129
read      244.8   110.9    86.8   137.3   150.6   230.7   272.3   294.5   310.6   329.0   352.2   390.1   470.8   842.8  4067.1  30089.0    30135  1775045507641  1775045517746
read      245.0   105.7    80.4   133.7   147.6   230.8   273.8   296.5   312.9   332.1   356.6   395.4   484.4   797.0  3477.6  30202.7    30140  1775045519261  1775045529363
read      247.7   109.4    80.4   136.9   150.3   234.1   277.6   300.6   316.5   335.3   359.0   395.7   475.0   767.8  3467.9  30176.9    30145  1775045530876  1775045540976
