#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      224.0   104.9    80.4   131.4   144.8   211.6   242.6   262.0   276.0   293.8   315.4   345.6   408.9  1084.5  4115.1  29931.9    30000  1778373345010  1778373355170
read      220.8    90.3    80.4   132.4   146.0   209.1   237.4   255.3   269.5   286.2   307.6   339.5   410.5   951.7  3208.1  30003.5    30005  1778373356685  1778373366817
read      227.7    93.0    86.8   134.5   148.9   215.1   246.1   265.6   280.1   297.6   320.2   354.6   426.7   910.7  3234.2  29907.5    30010  1778373368330  1778373378433
read      234.3   118.1    80.4   130.0   144.5   217.9   252.9   274.3   290.7   309.6   333.4   369.6   471.4  1585.9  4146.2  30083.6    30015  1778373379947  1778373390045
read      218.0   108.5    86.8   129.4   141.8   202.8   232.0   250.1   264.4   281.6   304.0   338.1   423.4  1655.8  3219.5  30055.3    30020  1778373391558  1778373401660
read      233.1   105.6    80.4   135.0   149.8   220.0   253.4   273.9   289.4   307.2   328.9   361.3   435.2  1080.8  3736.0  29974.3    30025  1778373403173  1778373413276
read      222.3    93.7    74.4   128.3   142.1   210.8   242.0   261.3   275.0   292.2   313.3   343.2   408.5   973.3  3795.8  29972.3    30030  1778373414788  1778373424889
read      222.6    87.4    80.4   131.9   145.3   211.2   241.6   260.5   274.0   291.0   311.9   342.3   404.3   906.1  3379.3  30017.1    30035  1778373426401  1778373436507
read      219.6    93.2    80.4   130.6   143.3   206.9   237.1   256.7   271.5   289.0   310.6   341.9   404.5   753.0  3167.3  30063.8    30040  1778373438019  1778373448122
read      239.9   119.4    80.4   140.0   153.5   223.6   257.5   278.2   294.3   313.7   338.4   376.2   471.5  1546.0  4774.6  30061.0    30045  1778373449636  1778373459745
read      232.5   106.5    86.8   136.3   149.5   217.1   250.0   270.5   286.3   305.0   329.2   366.3   457.7  1320.3  4045.5  30038.6    30050  1778373461258  1778373471360
read      233.4   130.7    86.8   134.2   147.7   215.4   248.3   268.8   284.5   303.4   328.1   367.1   479.4  2100.6  4301.2  30129.8    30055  1778373472873  1778373482972
read      229.4   110.1    80.4   129.8   143.4   213.4   247.4   268.5   284.5   303.3   327.1   364.6   462.6  1414.3  3277.6  30067.6    30060  1778373484485  1778373494590
read      232.5   107.6    86.8   136.8   150.4   217.3   249.2   268.8   283.9   302.2   325.6   363.5   462.4  1574.1  3770.9  29971.9    30065  1778373496104  1778373506205
read      244.8   125.1    86.8   139.1   154.0   228.8   263.9   284.9   299.9   318.5   343.1   384.8   501.7  1525.9  4175.2  30091.1    30070  1778373507718  1778373517822
read      223.7    98.4    86.8   134.4   147.5   210.1   239.6   258.4   272.8   290.7   313.3   345.8   427.3  1079.1  3371.1  30087.1    30075  1778373519335  1778373529436
read      227.0   122.3    86.8   131.7   144.3   209.0   240.8   261.2   276.1   295.1   319.8   359.2   462.7  1776.5  3810.2  30067.6    30080  1778373530948  1778373541056
read      223.4   119.8    86.8   126.6   139.5   206.6   239.0   259.8   275.1   294.1   318.0   355.5   457.3  1606.5  4025.2  30077.6    30085  1778373542570  1778373552675
read      234.4   146.2    86.8   135.4   149.2   215.6   247.2   266.9   281.9   300.1   324.6   365.6   493.8  2333.8  5572.9  30091.6    30090  1778373554188  1778373564291
read      213.1   106.3    80.4   121.3   134.2   197.9   228.8   247.8   262.7   280.7   304.6   340.7   429.9  1237.4  3757.5  30089.2    30095  1778373565804  1778373575904
read      234.0   149.0    86.8   129.6   142.9   214.5   249.2   270.8   287.2   306.5   331.5   370.7   498.1  2363.0  5001.0  30053.7    30100  1778373577417  1778373587520
read      222.0   100.6    80.4   128.9   142.8   209.3   240.0   259.4   273.7   291.4   313.7   346.3   422.3   976.4  3880.4  30170.1    30105  1778373589031  1778373599139
read      215.6    89.9    80.4   124.6   138.2   203.1   234.1   253.8   268.9   286.3   307.4   337.7   400.6   698.1  3299.2  30222.6    30110  1778373600651  1778373610753
read      221.9    93.2    74.4   130.5   143.8   209.9   240.6   259.8   274.0   291.9   313.9   345.0   411.8   774.9  3480.7  30154.7    30115  1778373612265  1778373622371
