#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      247.0   136.0    93.8   146.1   159.3   231.8   267.3   287.2   301.5   318.9   342.6   382.4   485.2  1302.2  5995.3  29919.7    30000  1778332631141  1778332641293
read      248.2   111.2   101.3   153.4   165.9   234.4   268.1   286.9   300.2   316.7   339.0   373.8   465.3  1408.8  4403.1  29950.6    30005  1778332642808  1778332652942
read      251.0   106.5   101.3   152.4   165.6   237.7   272.7   292.3   306.8   323.3   345.1   382.0   466.5  1101.7  4240.7  30057.3    30010  1778332654457  1778332664561
read      249.7   106.3    93.8   150.7   164.0   235.7   270.8   290.5   305.1   321.6   344.8   383.7   476.6  1093.3  4159.9  30017.5    30015  1778332666076  1778332676188
read      247.5    96.7   101.3   153.1   165.6   233.8   267.8   287.3   301.5   318.5   341.3   375.6   459.1  1101.3  3373.9  30067.6    30020  1778332677706  1778332687809
read      242.7   105.6   101.3   151.6   163.4   228.9   260.9   279.2   293.1   309.8   331.3   366.2   457.4  1298.8  4134.6  30032.3    30025  1778332689322  1778332699429
read      253.4   111.7   101.3   155.7   168.7   238.4   272.9   293.2   308.3   325.6   348.4   386.7   471.6  1311.2  4152.9  30003.7    30030  1778332700950  1778332711054
read      244.7   101.6   101.3   152.4   164.4   230.5   263.5   282.7   296.5   314.0   336.2   370.5   456.8  1275.0  3195.6  29987.8    30035  1778332712568  1778332722674
read      252.4   115.4    93.8   155.6   168.4   235.8   269.9   289.9   304.7   321.4   344.7   383.9   497.3  1610.6  3838.7  29948.7    30040  1778332724189  1778332734290
read      253.1   128.4   101.3   154.4   166.8   234.7   268.9   289.0   304.1   321.6   345.5   388.2   534.1  1839.8  4866.3  29990.8    30045  1778332735804  1778332745905
read      252.3   107.1    93.8   152.1   165.2   237.2   272.4   292.4   307.2   324.2   346.6   387.9   514.0  1210.1  3767.1  30062.1    30050  1778332747419  1778332757519
read      240.8   102.3    93.8   145.3   157.8   227.3   260.3   278.4   292.3   309.4   332.0   370.6   482.7  1123.7  3338.0  30136.0    30055  1778332759035  1778332769135
read      255.1   144.1   101.3   149.9   161.9   233.9   270.2   291.3   307.2   326.0   352.1   398.4   606.5  2229.2  4883.9  30096.5    30060  1778332770650  1778332780753
read      245.1   129.7    93.8   147.1   159.3   227.2   261.6   281.8   296.6   315.5   339.9   381.3   520.4  1579.4  6071.2  30182.6    30065  1778332782269  1778332792377
read      257.8   152.0    93.8   146.1   158.9   236.0   273.4   295.9   313.5   334.5   362.6   409.9   621.0  2290.0  4597.0  30027.7    30070  1778332793891  1778332803994
read      238.7   117.8    93.8   143.6   155.9   224.0   256.5   274.5   288.9   305.9   328.5   368.0   484.1  1411.0  4313.3  30063.0    30075  1778332805510  1778332815615
read      233.2    90.2    93.8   140.3   152.1   222.0   254.1   271.7   285.1   300.7   321.4   358.1   451.7   970.9  2878.7  30117.4    30080  1778332817132  1778332827240
read      242.4   101.7    86.8   146.8   159.8   231.0   263.3   281.3   294.8   312.0   334.2   369.7   457.7   810.3  3209.4  30047.1    30085  1778332828754  1778332838861
read      245.8   106.9    93.8   148.0   161.2   232.6   266.4   285.6   299.8   317.8   341.4   379.2   470.4  1000.9  4185.5  30154.5    30090  1778332840377  1778332850485
read      247.1   106.7    93.8   147.4   160.5   233.9   268.6   288.3   303.0   320.8   344.6   383.4   467.0   958.5  4323.0  30140.4    30095  1778332852000  1778332862101
read      244.1   100.5    93.8   148.1   160.8   230.8   264.3   283.3   297.1   315.3   339.0   376.9   468.8  1016.0  3865.4  30101.6    30100  1778332863615  1778332873717
