#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      225.4    93.1    80.4   132.6   145.7   212.8   244.7   264.9   279.8   297.2   319.1   350.1   416.2   858.9  3668.4  30001.1    30000  1778372983177  1778372993327
read      218.3    95.3    80.4   125.1   139.7   206.6   236.7   255.9   270.4   287.5   308.8   339.3   403.5   956.0  4105.8  29950.2    30005  1778372994839  1778373004964
read      221.3   100.8    80.4   130.6   143.9   208.0   238.0   257.2   271.7   289.3   311.3   342.4   411.3  1130.0  3652.0  29990.8    30010  1778373006475  1778373016578
read      223.3   118.7    80.4   127.1   140.5   207.5   238.6   258.9   273.9   292.8   316.3   350.7   439.6  1657.3  4348.8  30087.3    30015  1778373018091  1778373028190
read      228.2   137.0    86.8   133.0   145.9   210.5   241.7   261.6   275.9   294.2   317.3   353.2   457.1  2120.1  5013.7  30037.0    30020  1778373029702  1778373039805
read      227.6   108.9    80.4   130.9   145.9   215.0   246.6   266.4   281.1   298.3   319.7   351.5   423.1   980.0  4020.0  30026.9    30025  1778373041319  1778373051422
read      222.9    90.5    80.4   129.1   143.3   210.8   241.5   260.9   274.9   292.7   314.6   345.7   418.5   989.6  2701.2  30041.4    30030  1778373052935  1778373063037
read      218.8    94.2    80.4   127.2   140.5   207.0   237.7   257.8   272.4   289.7   310.5   339.7   400.1   785.4  2990.9  30042.3    30035  1778373064551  1778373074668
read      224.3    95.2    86.8   130.1   145.9   213.8   244.1   262.7   275.9   292.7   313.5   343.5   408.9   716.5  3594.4  30029.6    30040  1778373076180  1778373086282
read      229.6   122.8    86.8   140.1   152.3   214.5   244.7   263.6   277.6   295.6   318.2   353.2   436.3  1295.6  6044.0  29972.2    30045  1778373087795  1778373097902
read      232.7   106.4    80.4   131.5   145.1   216.8   252.2   274.1   290.8   309.9   333.7   369.5   463.4  1226.8  3624.3  30087.1    30050  1778373099415  1778373109518
read      231.2   122.0    80.4   130.9   144.3   214.4   248.9   270.0   286.0   304.7   328.5   366.3   473.2  1603.9  5262.7  30067.8    30055  1778373111029  1778373121130
read      231.2   116.4    80.4   135.9   150.0   216.2   248.1   267.7   282.3   299.4   321.6   358.0   453.4  1514.0  4016.0  29921.6    30060  1778373122644  1778373132746
read      223.2   105.3    80.4   128.9   141.6   207.8   240.8   261.6   276.4   294.9   318.1   353.3   437.7  1217.7  3879.0  30108.6    30065  1778373134260  1778373144363
read      222.0   116.7    86.8   131.5   144.3   206.1   235.7   254.8   269.9   287.9   311.0   344.9   433.8  1734.8  4265.2  30084.2    30070  1778373145878  1778373155978
read      225.1    97.7    80.4   133.1   145.9   211.5   243.5   264.0   279.2   297.1   319.3   352.2   426.1   808.5  4117.5  30028.6    30075  1778373157492  1778373167592
read      230.7   123.4    80.4   129.8   144.6   213.7   246.8   267.3   282.8   301.2   324.8   362.8   469.6  1932.3  3579.7  30043.9    30080  1778373169105  1778373179206
read      231.5   104.4    80.4   131.9   146.2   216.8   250.2   270.8   286.6   305.3   329.1   366.4   457.9  1269.4  3360.8  30036.5    30085  1778373180718  1778373190816
read      236.5   160.0    80.4   125.8   139.3   214.7   252.3   275.2   292.6   312.8   338.4   378.6   527.2  2769.3  6000.6  30168.8    30090  1778373192331  1778373202436
read      233.2   118.8    86.8   132.9   148.3   217.6   249.9   269.7   285.0   303.1   326.3   364.0   468.7  1657.1  3851.1  30118.4    30095  1778373203949  1778373214055
read      226.7   110.4    80.4   127.0   141.2   211.0   243.3   263.7   278.9   297.3   321.0   358.6   457.0  1636.4  3096.0  30100.1    30100  1778373215567  1778373225668
read      225.4    89.7    80.4   133.5   147.1   213.8   244.6   264.1   278.3   295.5   316.9   346.1   408.0   803.7  3329.7  30114.7    30105  1778373227179  1778373237280
read      221.1    92.8    80.4   129.1   142.5   209.3   240.2   260.2   274.4   291.7   312.9   342.6   402.3   735.5  3629.6  30024.5    30110  1778373238792  1778373248896
